archivo,nodos,densidad,particiones,i,j,varsel,nodesel,tt,ta
instancia-20-25-10.3.2.0.1.col.solved,20,25,10,3,2,0,1,0.037998,0.037096
instancia-20-25-10.3.2.0.2.col.solved,20,25,10,3,2,0,2,0.0384459,0.037571
instancia-20-25-10.3.2.0.3.col.solved,20,25,10,3,2,0,3,0.037869,0.0369949
instancia-20-25-10.3.2.1.0.col.solved,20,25,10,3,2,1,0,0.0708649,0.0699871
instancia-20-25-10.3.2.2.0.col.solved,20,25,10,3,2,2,0,0.0397379,0.037703
instancia-20-25-10.3.2.3.0.col.solved,20,25,10,3,2,3,0,0.0356579,0.0347841
instancia-20-25-10.3.2.4.0.col.solved,20,25,10,3,2,4,0,0.0253658,0.024488
instancia-20-25-10.3.3.-1.0.col.solved,20,25,10,3,3,-1,0,0.024832,0.023953
instancia-20-25-10.3.3.0.0.col.solved,20,25,10,3,3,0,0,0.0266421,0.025743
instancia-20-25-10.3.3.0.1.col.solved,20,25,10,3,3,0,1,0.02669,0.025799
instancia-20-25-10.3.3.0.2.col.solved,20,25,10,3,3,0,2,0.026437,0.025562
instancia-20-25-10.3.3.0.3.col.solved,20,25,10,3,3,0,3,0.0264781,0.0255592
instancia-20-25-10.3.3.1.0.col.solved,20,25,10,3,3,1,0,0.0273499,0.026474
instancia-20-25-10.3.3.2.0.col.solved,20,25,10,3,3,2,0,0.0261672,0.025106
instancia-20-25-10.3.3.3.0.col.solved,20,25,10,3,3,3,0,0.0268669,0.0257821
instancia-20-25-10.3.3.4.0.col.solved,20,25,10,3,3,4,0,0.0208611,0.0200121
instancia-20-25-10.3.4.-1.0.col.solved,20,25,10,3,4,-1,0,0.0540099,0.0531201
instancia-20-25-10.3.4.0.0.col.solved,20,25,10,3,4,0,0,0.0355909,0.0339181
instancia-20-25-10.3.4.0.1.col.solved,20,25,10,3,4,0,1,0.034852,0.033977
instancia-20-25-10.3.4.0.2.col.solved,20,25,10,3,4,0,2,0.034234,0.0333922
instancia-20-25-10.3.4.0.3.col.solved,20,25,10,3,4,0,3,0.0343239,0.0334482
instancia-20-25-10.3.4.1.0.col.solved,20,25,10,3,4,1,0,0.0401521,0.039254
instancia-20-25-10.3.4.2.0.col.solved,20,25,10,3,4,2,0,0.034318,0.0332959
instancia-20-25-10.3.4.3.0.col.solved,20,25,10,3,4,3,0,0.0322709,0.0313818
instancia-20-25-10.3.4.4.0.col.solved,20,25,10,3,4,4,0,0.0243869,0.0235481
instancia-20-25-10.3.5.-1.0.col.solved,20,25,10,3,5,-1,0,0.041393,0.040478
instancia-20-25-10.3.5.0.0.col.solved,20,25,10,3,5,0,0,0.032294,0.031487
instancia-20-25-10.3.5.0.1.col.solved,20,25,10,3,5,0,1,0.0314119,0.0305159
instancia-20-25-10.3.5.0.2.col.solved,20,25,10,3,5,0,2,0.0313859,0.0305359
instancia-20-25-10.3.5.0.3.col.solved,20,25,10,3,5,0,3,0.0319202,0.03104
instancia-20-25-10.3.5.1.0.col.solved,20,25,10,3,5,1,0,0.0289321,0.028065
instancia-20-25-10.3.5.2.0.col.solved,20,25,10,3,5,2,0,0.0316701,0.0308161
instancia-20-25-10.3.5.3.0.col.solved,20,25,10,3,5,3,0,0.0409288,0.0399871
instancia-20-25-10.3.5.4.0.col.solved,20,25,10,3,5,4,0,0.027297,0.0246971
instancia-20-25-10.4.1.-1.0.col.solved,20,25,10,4,1,-1,0,0.052815,0.0485718
instancia-20-25-10.4.1.0.0.col.solved,20,25,10,4,1,0,0,0.0861328,0.0839412
instancia-20-25-10.4.1.0.1.col.solved,20,25,10,4,1,0,1,0.0768199,0.074523
instancia-20-25-10.4.1.0.2.col.solved,20,25,10,4,1,0,2,0.0767241,0.0746081
instancia-20-25-10.4.1.0.3.col.solved,20,25,10,4,1,0,3,0.0844629,0.080447
instancia-20-25-10.4.1.1.0.col.solved,20,25,10,4,1,1,0,0.0419099,0.0410011
instancia-20-25-10.4.1.2.0.col.solved,20,25,10,4,1,2,0,0.0767829,0.0747068
instancia-20-25-10.4.1.3.0.col.solved,20,25,10,4,1,3,0,0.0591221,0.056838
instancia-20-25-10.4.1.4.0.col.solved,20,25,10,4,1,4,0,0.0423219,0.0385149
instancia-20-25-10.4.2.-1.0.col.solved,20,25,10,4,2,-1,0,0.0282001,0.027215
instancia-20-25-10.4.2.0.0.col.solved,20,25,10,4,2,0,0,0.024642,0.0236869
instancia-20-25-10.4.2.0.1.col.solved,20,25,10,4,2,0,1,0.028204,0.0257709
instancia-20-25-10.4.2.0.2.col.solved,20,25,10,4,2,0,2,0.0246642,0.023555
instancia-20-25-10.4.2.0.3.col.solved,20,25,10,4,2,0,3,0.025135,0.0241799
instancia-20-25-10.4.2.1.0.col.solved,20,25,10,4,2,1,0,0.0229461,0.022018
instancia-20-25-10.4.2.2.0.col.solved,20,25,10,4,2,2,0,0.024266,0.023386
instancia-20-25-10.4.2.3.0.col.solved,20,25,10,4,2,3,0,0.028832,0.0278289
instancia-20-25-10.4.2.4.0.col.solved,20,25,10,4,2,4,0,0.0246909,0.023103
instancia-20-25-10.4.3.-1.0.col.solved,20,25,10,4,3,-1,0,0.046231,0.0453899
instancia-20-25-10.4.3.0.0.col.solved,20,25,10,4,3,0,0,0.0471511,0.046335
instancia-20-25-10.4.3.0.1.col.solved,20,25,10,4,3,0,1,0.0485499,0.046108
instancia-20-25-10.4.3.0.2.col.solved,20,25,10,4,3,0,2,0.0460961,0.045253
instancia-20-25-10.4.3.0.3.col.solved,20,25,10,4,3,0,3,0.0468581,0.0460191
instancia-20-25-10.4.3.1.0.col.solved,20,25,10,4,3,1,0,0.0562551,0.0554399
instancia-20-25-10.4.3.2.0.col.solved,20,25,10,4,3,2,0,0.0547369,0.0525761
instancia-20-25-10.4.3.3.0.col.solved,20,25,10,4,3,3,0,0.058099,0.057225
instancia-20-25-10.4.3.4.0.col.solved,20,25,10,4,3,4,0,0.031812,0.0288529
instancia-20-25-10.4.4.-1.0.col.solved,20,25,10,4,4,-1,0,0.0696969,0.0674942
instancia-20-25-10.4.4.0.0.col.solved,20,25,10,4,4,0,0,0.0803301,0.0777981
instancia-20-25-10.4.4.0.1.col.solved,20,25,10,4,4,0,1,0.0797942,0.0769792
instancia-20-25-10.4.4.0.2.col.solved,20,25,10,4,4,0,2,0.0795889,0.077266
instancia-20-25-10.4.4.0.3.col.solved,20,25,10,4,4,0,3,0.079236,0.07692
instancia-20-25-10.4.4.1.0.col.solved,20,25,10,4,4,1,0,0.068809,0.0675709
instancia-20-25-10.4.4.2.0.col.solved,20,25,10,4,4,2,0,0.0788782,0.0765431
instancia-20-25-10.4.4.3.0.col.solved,20,25,10,4,4,3,0,0.0902131,0.0882089
instancia-20-25-10.4.4.4.0.col.solved,20,25,10,4,4,4,0,0.03952,0.037163
instancia-20-25-10.4.5.-1.0.col.solved,20,25,10,4,5,-1,0,0.060004,0.057364
instancia-20-25-10.4.5.0.0.col.solved,20,25,10,4,5,0,0,0.078789,0.076571
instancia-20-25-10.4.5.0.1.col.solved,20,25,10,4,5,0,1,0.083514,0.0811601
instancia-20-25-10.4.5.0.2.col.solved,20,25,10,4,5,0,2,0.0790389,0.0769029
instancia-20-25-10.4.5.0.3.col.solved,20,25,10,4,5,0,3,0.0790961,0.0770118
instancia-20-25-10.4.5.1.0.col.solved,20,25,10,4,5,1,0,0.0585999,0.0577531
instancia-20-25-10.4.5.2.0.col.solved,20,25,10,4,5,2,0,0.0789871,0.076546
instancia-20-25-10.4.5.3.0.col.solved,20,25,10,4,5,3,0,0.109616,0.107557
instancia-20-25-10.4.5.4.0.col.solved,20,25,10,4,5,4,0,0.0381281,0.0352569
instancia-20-25-10.5.1.-1.0.col.solved,20,25,10,5,1,-1,0,0.0307491,0.0285819
instancia-20-25-10.5.1.0.0.col.solved,20,25,10,5,1,0,0,0.043525,0.0423849
instancia-20-25-10.5.1.0.1.col.solved,20,25,10,5,1,0,1,0.0401099,0.039242
instancia-20-25-10.5.1.0.2.col.solved,20,25,10,5,1,0,2,0.0396941,0.038866
instancia-20-25-10.5.1.0.3.col.solved,20,25,10,5,1,0,3,0.0431001,0.0406651
instancia-20-25-10.5.1.1.0.col.solved,20,25,10,5,1,1,0,0.0359752,0.0347409
instancia-20-25-10.5.1.2.0.col.solved,20,25,10,5,1,2,0,0.0503628,0.047981
instancia-20-25-10.5.1.3.0.col.solved,20,25,10,5,1,3,0,0.0359099,0.0322371
instancia-20-25-10.5.1.4.0.col.solved,20,25,10,5,1,4,0,0.0246069,0.0237129
instancia-20-25-10.5.2.-1.0.col.solved,20,25,10,5,2,-1,0,0.026181,0.0232811
instancia-20-25-10.5.2.0.0.col.solved,20,25,10,5,2,0,0,0.0332,0.0322092
instancia-20-25-10.5.2.0.1.col.solved,20,25,10,5,2,0,1,0.0348051,0.0335619
instancia-20-25-10.5.2.0.2.col.solved,20,25,10,5,2,0,2,0.0335219,0.032589
instancia-20-25-10.5.2.0.3.col.solved,20,25,10,5,2,0,3,0.0384719,0.035979
instancia-20-25-10.5.2.1.0.col.solved,20,25,10,5,2,1,0,0.0202808,0.0193059
instancia-20-25-10.5.2.2.0.col.solved,20,25,10,5,2,2,0,0.0340281,0.033046
instancia-20-25-10.5.2.3.0.col.solved,20,25,10,5,2,3,0,0.0356362,0.0330758
instancia-20-25-10.5.2.4.0.col.solved,20,25,10,5,2,4,0,0.032325,0.0290699
instancia-20-25-10.5.3.-1.0.col.solved,20,25,10,5,3,-1,0,0.0576792,0.0565808
instancia-20-25-10.5.3.0.0.col.solved,20,25,10,5,3,0,0,0.0411251,0.038815
instancia-20-25-10.5.3.0.1.col.solved,20,25,10,5,3,0,1,0.040565,0.0396509
instancia-20-25-10.5.3.0.2.col.solved,20,25,10,5,3,0,2,0.039629,0.038718
instancia-20-25-10.5.3.0.3.col.solved,20,25,10,5,3,0,3,0.0515308,0.048758
instancia-20-25-10.5.3.1.0.col.solved,20,25,10,5,3,1,0,0.05358,0.052645
instancia-20-25-10.5.3.2.0.col.solved,20,25,10,5,3,2,0,0.0491481,0.0453939
instancia-20-25-10.5.3.3.0.col.solved,20,25,10,5,3,3,0,0.0421011,0.039366
instancia-20-25-10.5.3.4.0.col.solved,20,25,10,5,3,4,0,0.0319061,0.029325
instancia-20-25-10.5.4.-1.0.col.solved,20,25,10,5,4,-1,0,0.0640419,0.0618811
instancia-20-25-10.5.4.0.0.col.solved,20,25,10,5,4,0,0,0.0747659,0.070621
instancia-20-25-10.5.4.0.1.col.solved,20,25,10,5,4,0,1,0.0657351,0.06493
instancia-20-25-10.5.4.0.2.col.solved,20,25,10,5,4,0,2,0.068615,0.066138
instancia-20-25-10.5.4.0.3.col.solved,20,25,10,5,4,0,3,0.0683579,0.065933
instancia-20-25-10.5.4.1.0.col.solved,20,25,10,5,4,1,0,0.059921,0.0588841
instancia-20-25-10.5.4.2.0.col.solved,20,25,10,5,4,2,0,0.0835328,0.079386
instancia-20-25-10.5.4.3.0.col.solved,20,25,10,5,4,3,0,0.0517931,0.048516
instancia-20-25-10.5.4.4.0.col.solved,20,25,10,5,4,4,0,0.0410049,0.038413
instancia-20-25-10.5.5.-1.0.col.solved,20,25,10,5,5,-1,0,0.0495,0.0466921
instancia-20-25-10.5.5.0.0.col.solved,20,25,10,5,5,0,0,0.0523791,0.0496938
instancia-20-25-10.5.5.0.1.col.solved,20,25,10,5,5,0,1,0.051285,0.0486369
instancia-20-25-10.5.5.0.2.col.solved,20,25,10,5,5,0,2,0.0517492,0.047822
instancia-20-25-10.5.5.0.3.col.solved,20,25,10,5,5,0,3,0.0440829,0.0431421
instancia-20-25-10.5.5.1.0.col.solved,20,25,10,5,5,1,0,0.048274,0.0474539
instancia-20-25-10.5.5.2.0.col.solved,20,25,10,5,5,2,0,0.0477009,0.0422721
instancia-20-25-10.5.5.3.0.col.solved,20,25,10,5,5,3,0,0.0354998,0.034564
instancia-20-25-10.5.5.4.0.col.solved,20,25,10,5,5,4,0,0.023623,0.0226638
instancia-20-25-5.1.1.-1.0.col.solved,20,25,5,1,1,-1,0,0.0105698,0.00890803
instancia-20-25-5.1.1.0.0.col.solved,20,25,5,1,1,0,0,0.00578809,0.00439811
instancia-20-25-5.1.1.0.1.col.solved,20,25,5,1,1,0,1,0.00696516,0.00538898
instancia-20-25-5.1.1.0.2.col.solved,20,25,5,1,1,0,2,0.00690603,0.00634599
instancia-20-25-5.1.1.0.3.col.solved,20,25,5,1,1,0,3,0.00872493,0.007447
instancia-20-25-5.1.1.1.0.col.solved,20,25,5,1,1,1,0,0.00454593,0.00397801
instancia-20-25-5.1.1.2.0.col.solved,20,25,5,1,1,2,0,0.00609183,0.00466895
instancia-20-25-5.1.1.3.0.col.solved,20,25,5,1,1,3,0,0.00431991,0.00384808
instancia-20-25-5.1.1.4.0.col.solved,20,25,5,1,1,4,0,0.00625896,0.00541186
instancia-20-25-5.1.2.-1.0.col.solved,20,25,5,1,2,-1,0,0.00658894,0.00579381
instancia-20-25-5.1.2.0.0.col.solved,20,25,5,1,2,0,0,0.00482297,0.00429416
instancia-20-25-5.1.2.0.1.col.solved,20,25,5,1,2,0,1,0.00447202,0.00396204
instancia-20-25-5.1.2.0.2.col.solved,20,25,5,1,2,0,2,0.00478411,0.0042398
instancia-20-25-5.1.2.0.3.col.solved,20,25,5,1,2,0,3,0.00602007,0.00554395
instancia-20-25-5.1.2.1.0.col.solved,20,25,5,1,2,1,0,0.00444007,0.00392914
instancia-20-25-5.1.2.2.0.col.solved,20,25,5,1,2,2,0,0.00449991,0.00398993
instancia-20-25-5.1.2.3.0.col.solved,20,25,5,1,2,3,0,0.00768709,0.00694513
instancia-20-25-5.1.2.4.0.col.solved,20,25,5,1,2,4,0,0.00453091,0.00399303
instancia-20-25-5.1.3.-1.0.col.solved,20,25,5,1,3,-1,0,0.00459814,0.00403786
instancia-20-25-5.1.3.0.0.col.solved,20,25,5,1,3,0,0,0.00391603,0.00338221
instancia-20-25-5.1.3.0.1.col.solved,20,25,5,1,3,0,1,0.00398088,0.00348186
instancia-20-25-5.1.3.0.2.col.solved,20,25,5,1,3,0,2,0.00852108,0.00696397
instancia-20-25-5.1.3.0.3.col.solved,20,25,5,1,3,0,3,0.0060041,0.00461006
instancia-20-25-5.1.3.1.0.col.solved,20,25,5,1,3,1,0,0.00570512,0.00510001
instancia-20-25-5.1.3.2.0.col.solved,20,25,5,1,3,2,0,0.00566602,0.00495601
instancia-20-25-5.1.3.3.0.col.solved,20,25,5,1,3,3,0,0.00406194,0.00350595
instancia-20-25-5.1.3.4.0.col.solved,20,25,5,1,3,4,0,0.00593209,0.00518703
instancia-20-25-5.1.4.-1.0.col.solved,20,25,5,1,4,-1,0,0.00552201,0.00501204
instancia-20-25-5.1.4.0.0.col.solved,20,25,5,1,4,0,0,0.00934696,0.0086
instancia-20-25-5.1.4.0.1.col.solved,20,25,5,1,4,0,1,0.010103,0.00951409
instancia-20-25-5.1.4.0.2.col.solved,20,25,5,1,4,0,2,0.0056169,0.0050931
instancia-20-25-5.1.4.0.3.col.solved,20,25,5,1,4,0,3,0.00889707,0.00811887
instancia-20-25-5.1.4.1.0.col.solved,20,25,5,1,4,1,0,0.00559592,0.00510883
